MaVT	TenVT	NhomVT	DVT	NgayNhap	SoLuong	DonGia	ThanhTien

BO-001	Bo Cổ Trơn - TRẮNG 003(1)	Bo cổ	bộ	01/08/2026	1,524.00	6,000 đ	9,144,000 đ
BO-002	Bo Cổ Trơn - KEM	Bo cổ	bộ	01/08/2026	480.00	6,000 đ	2,880,000 đ
BO-003	Bo Cổ Trơn - KEM 108	Bo cổ	bộ	01/08/2026	480.00	6,000 đ	2,880,000 đ
BO-004	Bo Cổ Trơn - GỪNG 040	Bo cổ	bộ	01/08/2026	0.00	6,000 đ	0 đ
BO-005	Bo Cổ Trơn - BEIGE 5V7036	Bo cổ	bộ	01/08/2026	200.00	6,000 đ	1,200,000 đ
BO-006	Bo Cổ Trơn - XÁM 005	Bo cổ	bộ	01/08/2026	180.00	6,000 đ	1,080,000 đ
BO-007	Bo Cổ Trơn - CỔ UẢ 044	Bo cổ	bộ	01/08/2026	67.00	6,000 đ	402,000 đ
BO-008	Bo Cổ Trơn - XÁM XANH 90	Bo cổ	bộ	01/08/2026	370.00	6,000 đ	2,220,000 đ
BO-009	Bo Cổ Trơn - RÊU 036	Bo cổ	bộ	01/08/2026	70.00	6,000 đ	420,000 đ
BO-010	Bo Cổ Trơn - XÁM CHÌ 035	Bo cổ	bộ	01/08/2026	125.00	6,000 đ	750,000 đ
BO-011	Bo Cổ Trơn - CỔ VỊT 012	Bo cổ	bộ	01/08/2026	65.00	6,000 đ	390,000 đ
BO-012	Bo Cổ Trơn - ĐEN	Bo cổ	bộ	01/08/2026	565.00	6,000 đ	3,390,000 đ
BO-013	Bo Cổ Trơn - XÁM LỢT 061	Bo cổ	bộ	01/08/2026	240.00	6,000 đ	1,440,000 đ
BO-014	Bo Cổ Trơn - XÁM 81	Bo cổ	bộ	01/08/2026	540.00	6,000 đ	3,240,000 đ
BO-015	Bo Cổ Trơn - CỔ VỊT 11	Bo cổ	bộ	01/08/2026	220.00	6,000 đ	1,320,000 đ
BO-016	Bo Cổ Trơn - XÁM 066	Bo cổ	bộ	01/08/2026	340.00	6,000 đ	2,040,000 đ
BO-017	Bo Cổ Trơn - XANH NHỚT 069	Bo cổ	bộ	01/08/2026	960.00	6,000 đ	5,760,000 đ
BO-018	Bo Cổ Trơn - CA CAO 21	Bo cổ	bộ	01/08/2026	80.00	6,000 đ	480,000 đ
BO-019	Bo Cổ Trơn - XÁM MÔN	Bo cổ	bộ	01/08/2026	230.00	6,000 đ	1,380,000 đ
BO-020	Bo Cổ Trơn - ĐỎ	Bo cổ	bộ	01/08/2026	40.00	6,000 đ	240,000 đ
BO-021	Bo Cổ Trơn - XANH ĐEN	Bo cổ	bộ	01/08/2026	460.00	6,000 đ	2,760,000 đ
BO-022	Bo Cổ Trơn - BÒ 068	Bo cổ	bộ	01/08/2026	0.00	6,000 đ	0 đ
